Type,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Images,Position,Meta: _wp_page_template,Meta: site-sidebar-layout,Meta: site-content-layout,Meta: _elementor_edit_mode,Meta: _elementor_template_type,Meta: _elementor_version,Meta: ekit_post_views_count
simple,ELEGANCE EAU DE COLOGNE,1,0,visible,,"<ul>
\n 	<li aria-level=""1"">L’Elegance Eau de Cologne vous apportera une petite touche douce et rafraichissante tout au long de la journée.</li>
\n 	<li aria-level=""1"">L’Eau de Cologne Elegance existe en 4 fragrances pour convenir à tous : Classic, Fresh, Marine et Sport</li>
\n 	<li aria-level=""1"">Appliquer de préférence l’Eau de Cologne Elegance sur les points d’impulsion (intérieur des poignets, intérieur des coudes, derrière les oreilles…)</li>
\n 	<li aria-level=""1"">Lors de la première utilisation d’une Eau de Cologne ou d’un parfum, il est préférable de tester le produit sur une petite partie du corps (poignet par exemple) pendant une heure afin s’assurer qu’il ne se produit pas de réaction cutanée.</li>
\n 	<li aria-level=""1"">Flacon de 250 ml</li>
\n 	<li aria-level=""1"">Teneur en alcool de 70°</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,6000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/01/produit1.jpeg,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance plus after shave 500 ml,1,0,visible,,"La Lotion Après-Rasage Elegance PLUS offre un véritable soulagement du rasage. Rafraîchissant et revitalisant, il hydrate votre visage et protège contre les éruptions cutanées, les poils incarnés. Vous aurez une sensation de fraîcheur, hydraté et une senteur étonnante",,,taxable,,1,,,0,0,,,,,1,,,11800,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/01/produit2.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance plus shaving gel 500 ml,1,0,visible,,"Améliorez votre rasage avec le meilleur gel de rasage au monde. Le gel de rasage Élégance offre une glisse parfaite de la lame de rasoir sur la peau avec une petite quantité, il offre une transparence afin que vous puissiez voir où les lames de votre rasoir sont déjà passées. Notre gel de rasage crée une couche entre la lame et votre peau, la protégeant contre les coupures, et surtout les brûlures du rasoir.",,,taxable,,1,,,0,0,,,,,1,,,11800,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/01/produit3.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance triple action hair gel,1,0,visible,,"Notre gel capillaire à triple action offre une forte tenue, un volume extrême et un éclat attrayant tout en offrant un parfum rafraîchissant. Vos cheveux seront résidus. Nos produits sont conçus pour les hommes et les femmes et peuvent être utilisés avec tous les types de cheveux. Il est très bien adapté pour Twister les cheveux afro ou activer les boucles des Curlys par exemple.",,,taxable,,1,,,0,0,,,,,1,,,11800,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/01/produit4.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance extra strong hair gel,1,0,visible,,"Fournit une retenue moyenne avec un contrôle maximal . Enrichi de vitamine Pro-VB5 pour protéger et garder vos cheveux fixés. Combinaison primée de Gel, Pomade, Wax. Offre un bon volume et un look naturel. Excellente qualité et sans flocon. Parfum rafraîchissant",,,taxable,,1,,,0,0,,,,,1,,,11800,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit5.jpg,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance Hair Pomade Wax 140g,1,0,visible,,"Notre pomade / cire de cheveux fournira à vos cheveux un éclat durable et n’offre aucune adhérence et aucun résidu avec la possibilité de remodeler et de peigner tout au long de la journée. Avec un parfum agréable, la Pomade Elegance vous permet de modifier l’effet en changeant le résultat que vous désirez, si vous appliquez sur des cheveux humides ou secs, les cheveux humides donnant moins de maintien avec plus de brillance et de cheveux secs, donnant plus de retenue avec moins de brillance. Notre pomade est parfaite pour tous les types de cheveux, y compris ceux qui ont des cheveux parfaitement secs et cheveux Afro.",,,taxable,,1,,,0,0,,,,,1,,,13000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produits-6.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance Wax HARD 100 ml,1,0,visible,,"Cire douce à l’huile d’argan permet de remodeler vos cheveux en obtenant un résultat naturel et une texture souple, Convient pour les cheveux Afro. sans paraben et sans alcool.",,,taxable,,1,,,0,0,,,,,1,,,9000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit7.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance Wax SOFT 100 ml,1,0,visible,,"Cire douce à l’huile d’argan permet de remodeler vos cheveux en obtenant un résultat naturel et une texture souple, Convient pour les cheveux Afro. sans paraben et sans alcool.",,,taxable,,1,,,0,0,,,,,1,,,9000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit8.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,Elegance Plus Black Gel,1,0,visible,,"Gel couleur noir, combine l’action du gel et la coloration instantanée. Donne un effet très naturel, couvre les cheveux blancs et renforce la couleur noir naturelle. Idéal pour tout type de cheveux caucasiens ou afro . S’enlève avec un shampoing.",,,taxable,,1,,,0,0,,,,,1,,,11000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit9.png,0,default,default,default,builder,wp-post,3.5.4,1
simple,ELEGANCE BLACK WAX POMADE,1,0,visible,,"La nouvelle ELEGANCE BLACK WAX POMADE permet de combiner 2 actions, la fixation et le renforcement de la couleur noir. Elle convient à tout type de cheveux  aussi bien couvrir les cheveux blancs, ou pour “plaquer” les cheveux par l’avant ou les waves. Le rendu est très naturel, et permet d’augmenter la perception de densité capillaire lorsqu’il y a de petits manques",,,taxable,,1,,,0,0,,,,,1,,,14000,Uncategorized,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit10.jpg,0,default,default,default,builder,wp-post,3.5.4,1
,Elegance Hair Pomade Wax Matte 140 g,1,0,visible,,Pomade Wax Matte permet d’avoir une bonne tenue des cheveux tout en gardant un aspect très naturel et texturant. Les cheveux sont facilement repositionnables . Elle convient aussi bien aux cheveux épais et fins. Son parfum est très agréable et elle s’enlève facilement lors de votre shampoing. Prendre une petite quantité sur votre doigt puis la chauffer entre la paume de vos mains et appliquer uniformément sur vos cheveux secs.,,,taxable,,1,,,0,0,,,,,1,,,13000,,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit11.png,0,default,default,default,builder,wp-post,3.5.4,1
,Elegance Black Mask 250 ml,1,0,visible,,Ouvrir les pores de la peau avec une serviette chaude / faire un gommage avec le Elegance facial scrub / nettoyer la peau / appliquer une couche de black mask sur le visage / laisser sécher au minimum 25 min / décoller le black mask en tirant par un coin / appliquer votre crème pour hydrater et refermer les pores.,,,taxable,,1,,,0,0,,,,,1,,,16000,,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/produit12.png,0,default,default,default,builder,wp-post,3.5.4,1
,WAHL SENIOR CORDLESS,1,0,visible,,"Les atouts de la tondeuse de coupe Wahl Senior Cordless :
Puissant moteur électromagnétique
Ergonomique et légère
Tête de coupe réglable dès 0
Description complète :
Tête de coupe : lame chromée réglable par manette latérale
Hauteur de coupe sans contre-peigne : 0.8 – 2.5 mm (réglable à 0)
Largeur de coupe : 40 mm – Boîtier inférieur en aluminium assurant une bonne prise en main pour plus de précision
Moteur rotatif de 6500 tr/min
Alimentation : sur secteur ou sur batterie Lithium-Ion
Autonomie : 70 min pour un temps de charge de 120 min
",,,taxable,,1,,,0,0,,,,,1,,,254000,,https://dev-kilife-barber-shop.pantheonsite.io/wp-content/uploads/2022/02/tondeuse1.jpg,0,default,default,,builder,wp-post,3.5.4,1
